,1. open,2. high,3. low,4. close,5. volume
2026-01-20,997.45,1019.9,985.0,1001.15,8791.0
2026-01-19,997.65,1014.25,995.0,997.45,1290.0
2026-01-16,1003.0,1020.0,998.75,1015.85,1445.0
2026-01-15,1002.45,1002.45,1002.45,1002.45,0.0
2026-01-14,999.0,1012.45,990.8,1002.45,3266.0
2026-01-13,1006.0,1011.45,997.0,1000.8,2268.0
2026-01-12,1041.85,1041.85,999.6,1014.4,3129.0
2026-01-09,1015.0,1026.9,1005.9,1023.5,3752.0
2026-01-08,1057.05,1062.95,1011.0,1023.15,11979.0
2026-01-07,1024.05,1059.0,1011.65,1054.35,6741.0
2026-01-06,998.35,1023.35,997.6,1020.2,1856.0
2026-01-05,1012.3,1031.05,1000.0,1005.8,3925.0
2026-01-02,1034.4,1035.3,1010.25,1021.2,5425.0
2026-01-01,1002.0,1036.9,995.8,1033.4,3101.0
2025-12-31,964.55,1014.85,964.55,1001.95,5572.0
2025-12-30,994.2,994.2,946.0,964.4,11050.0
2025-12-29,990.4,1005.85,990.4,994.1,1982.0
2025-12-26,999.0,1009.0,997.55,1007.15,904.0
2025-12-25,1002.45,1002.45,1002.45,1002.45,0.0
2025-12-24,1011.6,1011.7,1001.6,1002.45,869.0
2025-12-23,991.05,1010.85,990.0,1005.15,3388.0
2025-12-22,993.1,999.75,992.55,995.75,2623.0
2025-12-19,1009.5,1015.35,988.3,993.05,4722.0
2025-12-18,1008.55,1011.7,990.25,1009.2,3756.0
2025-12-17,1004.45,1018.9,1004.45,1012.8,1714.0
2025-12-16,1006.75,1022.0,1006.75,1014.75,1922.0
2025-12-15,1002.05,1022.0,1002.05,1018.95,2356.0
2025-12-12,1012.75,1022.5,1005.2,1017.05,2395.0
2025-12-11,1043.85,1043.85,1010.65,1012.75,15914.0
2025-12-10,1022.35,1069.4,1021.7,1030.5,15397.0
2025-12-09,1012.5,1020.7,1002.05,1019.9,1486.0
2025-12-08,1000.05,1018.0,996.35,1012.5,5148.0
2025-12-05,1008.3,1019.75,995.0,1014.55,4433.0
2025-12-04,1035.0,1042.9,1000.35,1008.3,4803.0
2025-12-03,1040.05,1044.95,1029.35,1036.45,1376.0
2025-12-02,1045.0,1052.0,1030.6,1044.1,5549.0
2025-12-01,1067.95,1067.95,1033.0,1051.05,1923.0
2025-11-28,1046.95,1054.0,1043.0,1050.25,1190.0
2025-11-27,1052.3,1052.3,1034.6,1046.75,1016.0
2025-11-26,1021.5,1063.25,1017.0,1052.25,2567.0
2025-11-25,1018.15,1038.3,1013.0,1021.5,4048.0
2025-11-24,1068.0,1068.0,1014.0,1018.4,2613.0
2025-11-21,1084.45,1084.45,1038.0,1047.35,1898.0
2025-11-20,1056.25,1062.75,1046.4,1047.75,1503.0
2025-11-19,1058.85,1065.9,1035.15,1058.75,6833.0
2025-11-18,1084.85,1084.85,1053.6,1056.5,2154.0
2025-11-17,1067.45,1079.1,1062.8,1075.6,4994.0
2025-11-14,1062.5,1074.15,1052.55,1065.05,11218680.0
2025-11-13,1066.4,1075.0,1060.3,1062.45,2401.0
2025-11-12,1069.85,1070.1,1037.8,1067.95,6076.0
2025-11-11,1072.7,1077.0,1052.55,1069.9,2174.0
2025-11-10,1056.65,1083.9,1048.9,1060.1,5532.0
2025-11-07,1082.0,1082.0,1056.35,1075.7,4493.0
2025-11-06,1101.6,1106.65,1082.0,1085.1,1997.0
2025-11-05,1106.35,1106.35,1106.35,1106.35,0.0
2025-11-04,1128.9,1130.2,1103.35,1106.35,6515.0
2025-11-03,1084.75,1133.85,1084.75,1128.9,2239.0
2025-10-31,1098.7,1127.45,1096.0,1104.35,6126.0
2025-10-30,1094.15,1102.35,1078.9,1096.0,3379.0
2025-10-29,1095.0,1099.5,1077.2,1094.7,2329.0
2025-10-28,1076.7,1097.1,1067.2,1089.4,6876.0
2025-10-27,1080.0,1101.05,1078.6,1096.0,2503.0
2025-10-24,1085.05,1101.4,1072.6,1086.45,7435.0
2025-10-23,1106.0,1111.0,1086.0,1095.5,4525.0
2025-10-21,1095.0,1115.0,1086.95,1108.2,3275.0
2025-10-20,1081.9,1105.35,1078.0,1102.3,7510.0
2025-10-17,1124.35,1124.35,1055.8,1083.9,5252.0
2025-10-16,1107.95,1107.95,1063.4,1082.25,1979.0
2025-10-15,1119.95,1119.95,1049.65,1070.25,4842.0
2025-10-14,1050.05,1070.3,1032.8,1062.25,10096.0
2025-10-13,1057.35,1068.2,1045.0,1048.8,3930.0
2025-10-10,1067.0,1086.9,1056.45,1076.5,5472.0
2025-10-09,1068.75,1083.9,1055.5,1066.0,13431.0
2025-10-08,1107.05,1123.6,1066.15,1073.25,13250.0
2025-10-07,1136.4,1140.0,1103.05,1107.0,5866.0
2025-10-06,1160.2,1160.25,1121.5,1127.45,3511.0
2025-10-03,1170.15,1195.05,1156.65,1160.15,6623.0
2025-10-02,1189.65,1189.65,1189.65,1189.65,0.0
2025-10-01,1195.0,1215.55,1170.0,1189.65,5360.0
2025-09-30,1182.7,1205.0,1182.7,1202.8,723.0
2025-09-29,1195.95,1201.15,1190.0,1193.5,1824.0
2025-09-26,1204.0,1212.8,1190.0,1194.3,4075.0
2025-09-25,1180.05,1242.0,1180.05,1214.1,12815.0
2025-09-24,1175.0,1198.0,1175.0,1190.95,5862.0
2025-09-23,1185.15,1185.15,1171.25,1181.45,4772.0
2025-09-22,1180.0,1193.85,1168.3,1178.0,5874.0
2025-09-19,1217.35,1220.6,1161.1,1177.65,11116.0
2025-09-18,1202.7,1235.5,1202.7,1217.4,2927.0
2025-09-17,1223.0,1225.0,1195.0,1217.05,8410.0
2025-09-16,1255.95,1255.95,1217.7,1222.9,3132.0
2025-09-15,1210.0,1266.45,1209.1,1243.25,10204.0
2025-09-12,1229.9,1229.9,1199.7,1209.45,1896.0
2025-09-11,1192.7,1219.35,1192.7,1207.65,1766.0
2025-09-10,1202.7,1228.0,1201.5,1206.5,3974.0
2025-09-09,1207.0,1223.3,1193.35,1214.8,5349.0
2025-09-08,1226.05,1226.05,1190.4,1207.0,1751.0
2025-09-05,1195.7,1205.0,1183.35,1198.2,2246.0
2025-09-04,1216.55,1218.9,1183.5,1195.95,2893.0
2025-09-03,1194.95,1206.65,1187.55,1200.6,3258.0
2025-09-02,1226.95,1226.95,1190.5,1198.75,5859.0
